,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,Google,,,,,DIGITAL,,,,,,,,,,GOOGLE FIBER,,,,,,,"Google Fiber was rolling out to cities nationwide, and Austin was second in line. While competitors were already in the market, Google wanted to cut through the noise—they asked us to prove why speed actually mattered. Not just another broadband pitch. We were tasked with showing the real human impact: how fiber could transform lives and strengthen communities.

Directed by Morgan Neville.

Bonus: that grandma in the ad? My mother-in-law, Bonnie. And those grand kids are actually my niece and nephew, Mia and Ulysses. (Pretty cute, if you ask me.)",,,,,,#FFFFFF,,,,,,,#000000
,,,,,,A localized city + community launch for Fiber.,,FILM  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,OOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PHOTO ART DIRECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,Nike,,,,,SPORTS,,,,,,,,,,MAKE YOURSELF,,,,,,,"How does Nike Women’s Training compete with the Lululemon yoga pant that everyone and their mom has to have?

Blur the line between “training wear” and fashion flare. We pushed towards a streetwear edge. We showed women they could wear our training products out of the gym, and even into a club.

For our seasonal shoot, we mixed Training apparel with Sportswear and Running styles, and created gym sets with deliberate wear and grit. The resulting images turned out so well…we were asked to leverage them for an ad campaign.",,,,,,#DBDBDB,,,,,,,#000000
,,,,,,Women’s Training Seasonal Story / Make Yourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PHOTO ART DIRECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,Nike,,,,,,,,,,,,,,, 128 / NYC,,,,,,,"How does Women’s Training support the G.O.A.T. during the US Open in NYC? Make her a kick-ass, limited-edition Air Max Trainer and an eye-catching apparel collection to match; immortalize this iconic star in a larger-than-life portrait; and pull it all together in a dramatic, Nike pop-up “showcase.”",,,,,,#EEEEEE,,,,,,,#000000
,,,,,,Celebrating Serena Williams with a special shoe and retail pop-up.,,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DESIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,Nike,,,,,DESIGN,,,,,,,,,, NIKE PRO,,,,,,,"Nike Pro - technical, training apparel designed for function over fashion. Problem: not popular with women beyond competitive athletes. But what if we changed that? Focus on the beauty of the female form, instead of technical details.

Sales went to new levels.",,,,,,#DBDBDB,,,,,,,#000000
,,,,,,Women's Training Pro,,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PHOTO ART DIRECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,Nike,,,,,DESIGN,,,,,,,,,, ROCK VICTORIOUS,,,,,,,"A premium, diamond-crusted, global campaign, celebrating our female athletes and promoting the all-so-awesome Diamond FLX Sister One Trainer. Pronouns: she/her",,,,,,#DBDBDB,,,,,,,#000000
,,,,,,Rock Victorious campaign print and retail,,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PHOTO ART DIRECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,Nike,,,,,OOH,,,,,,,,,, NIKE HOOPS,,,,,,,"The ask: create posters so iconic that every teenage hoops fan will hang them on their bedroom walls. 

This campaign was created when LeBron had just signed his first, $90M Nike contract. Creating the vision of “King James” for a 19-year-old LeBron was incredibly bold, like placing a bet on the type of player he’d become. And years later…he’s now come full circle, taking the record for the NBA’s all-time top scorer. I’m still proud of this work and it goes without saying that it has stood the test of time.",,,,,,#EEEEEE,,,,,,,#000000
,,,,,,Hoops OOH & poster campaign,,PHOTO ART DIRECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,Nike,,,,,FILM,,,,,,,,,,MARRY ME,,,,,,,"How do you market a new running shoe geared towards a global female audience? Create a charming, fairytale-inspired story of women empowerment (before that was really a thing)… in Italy… with subtitles.

Barbara Lippert of Adweek called the spot, “the most delightful and high-spirited running commercial ever created for women.”",,,,,,#EEEEEE,,,,,,,#000000
,,,,,,Global film for the Nike running shoe Shox Bella.,,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,Nike,,,,,OOH,,,,,,,,,,NIKE ID,,,,,,,"Announce, launch, build buzz, and drive traffic to Nike ID (now called Nike By You), an all-new dotcom service where customers can design their kicks to be more “uniquely theirs” with color, pattern, materials, and copy.

We were determined to create a campaign as eclectic as our audience. Make it go beyond sport. Make it bigger. Make it appeal to more of a streetwear culture. Do it in a graphic way. And, of course, make it memorable.

Was it successful? Billions of dollars of sales later, they’ve renamed it, but the experience remains the same.",,,,,,#FFFFFF,,,,,,,#000000
,,,,,,"A campaign to launch the custom design offering, Nike ID

 ",,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
